1.598456669000000000e+09,4.082083268000000231e+01,-7.392119013999999311e+01,4.700000000000000000e+02,SPEED,avg_longitude,avg_latitude
1596737535.0,40.82083268,-73.92119013999998,409.0,13.67,-73.92589576923078,40.80844330769231
1597023398.0,40.82083268,-73.92119013999998,594.0,42.25,-73.92589576923078,40.80844330769231
1597134074.0,40.82083268,-73.92119013999998,210.0,43.49,-73.92589576923078,40.80844330769231
1597943118.0,40.82083268,-73.92119013999998,240.0,14.91,-73.92589576923078,40.80844330769231
1598498874.0,40.82083268,-73.92119013999998,286.0,37.9,-73.92589576923078,40.80844330769231
1598988740.0,40.82083268,-73.92119013999998,281.0,14.91,-73.92589576923078,40.80844330769231
1599371566.0,40.82083268,-73.92119013999998,0.0,43.49,-73.92589576923078,40.80844330769231
1599483737.0,40.82083268,-73.92119013999998,200.0,44.11,-73.92589576923078,40.80844330769231
1599806262.0,40.82083268,-73.92119013999998,492.0,45.98,-73.92589576923078,40.80844330769231
1600042051.0,40.82083268,-73.92119013999998,220.0,43.49,-73.92589576923078,40.80844330769231
1600902219.0,40.82083268,-73.92119013999998,0.0,nan,nan,nan
1601093996.0,40.82083268,-73.92119013999998,250.0,nan,nan,nan
1601299625.0,40.82083268,-73.92119013999998,0.0,nan,nan,nan
1601376107.0,40.82083268,-73.92119013999998,342.0,nan,nan,nan
1601611797.0,40.82083268,-73.92119013999998,0.0,nan,nan,nan
1602546825.0,40.82083268,-73.92119013999998,234.0,nan,nan,nan
1603063178.0,40.82083268,-73.92119013999998,249.0,nan,nan,nan
1603074104.0,40.82083268,-73.92119013999998,0.0,nan,nan,nan
1603117016.0,40.82083268,-73.92119013999998,321.0,nan,nan,nan
1603408259.0,40.82083268,-73.92119013999998,325.0,nan,nan,nan
1603769328.0,40.82083268,-73.92119013999998,282.0,nan,nan,nan
1587438260.0,40.82083268,-73.92119013999998,289.0,nan,nan,nan
1589802038.0,40.82083268,-73.92119013999998,358.0,nan,nan,nan
1590868589.0,40.82083268,-73.92119013999998,197.0,nan,nan,nan
1591218307.0,40.82083268,-73.92119013999998,0.0,nan,nan,nan
1591358371.0,40.82083268,-73.92119013999998,18.0,nan,nan,nan
1591914731.0,40.82083268,-73.92119013999998,220.0,nan,nan,nan
1592025942.0,40.82083268,-73.92119013999998,432.0,0.0,-73.92589576923078,40.80844330769231
1593380747.0,40.82083268,-73.92119013999998,0.0,44.73,-73.92589576923078,40.80844330769231
1593776106.0,40.82083268,-73.92119013999998,0.0,36.66,-73.92589576923078,40.80844330769231
1594476253.0,40.82083268,-73.92119013999998,293.0,42.25,-73.92589576923078,40.80844330769231
1594603821.0,40.82083268,-73.92119013999998,219.0,42.87,-73.92589576923078,40.80844330769231
1595285520.0,40.82083268,-73.92119013999998,353.0,39.76,-73.92589576923078,40.80844330769231
1598456761.0,40.72413645,-73.99260322,225.0,32.31,-73.997887,40.70871025
1598456761.0,40.72413645,-73.99260322,225.0,32.31,-73.997887,40.70871025
1598456761.0,40.72413645,-73.99260322,225.0,32.31,-73.997887,40.70871025
1598456761.0,40.72413645,-73.99260322,225.0,32.31,-73.997887,40.70871025
1596674314.0,40.72413645,-73.99260322,0.0,29.2,-73.997887,40.70871025
1596674314.0,40.72413645,-73.99260322,0.0,29.2,-73.997887,40.70871025
1596674314.0,40.72413645,-73.99260322,0.0,29.2,-73.997887,40.70871025
1596674314.0,40.72413645,-73.99260322,0.0,29.2,-73.997887,40.70871025
1596682262.0,40.72413645,-73.99260322,0.0,42.87,-73.997887,40.70871025
1596682262.0,40.72413645,-73.99260322,0.0,42.87,-73.997887,40.70871025
1596682262.0,40.72413645,-73.99260322,0.0,42.87,-73.997887,40.70871025
1596682262.0,40.72413645,-73.99260322,0.0,42.87,-73.997887,40.70871025
1596783403.0,40.72413645,-73.99260322,68.0,44.11,-73.997887,40.70871025
1596783403.0,40.72413645,-73.99260322,68.0,44.11,-73.997887,40.70871025
1596783403.0,40.72413645,-73.99260322,68.0,44.11,-73.997887,40.70871025
1596783403.0,40.72413645,-73.99260322,68.0,44.11,-73.997887,40.70871025
1596995216.0,40.72413645,-73.99260322,241.0,29.2,-73.997887,40.70871025
1596995216.0,40.72413645,-73.99260322,241.0,29.2,-73.997887,40.70871025
